recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,704,847,816,819,866,939,-0.770,0.256,-0.631,6.679,1.664,-10.244,Dog
0,708,845,817,818,869,939,-0.762,0.263,-0.619,12.656,0.969,-6.458,Dog
0,712,837,816,823,872,937,-0.771,0.266,-0.617,21.534,-3.336,1.145,Dog
0,716,850,829,816,869,933,-0.771,0.270,-0.622,29.840,-5.954,10.824,Dog
0,720,839,826,819,874,938,-0.773,0.286,-0.627,33.000,-6.817,19.076,Dog
0,724,848,816,816,871,939,-0.792,0.307,-0.645,33.939,-9.427,22.107,Dog
0,728,845,826,825,874,943,-0.801,0.320,-0.664,30.985,-11.053,19.198,Dog
0,732,848,822,821,871,930,-0.801,0.321,-0.659,25.336,-11.763,13.802,Dog
0,736,849,821,816,869,937,-0.812,0.324,-0.657,20.588,-15.710,8.092,Dog
0,740,842,829,832,867,942,-0.797,0.318,-0.661,15.756,-15.939,1.496,Dog
0,744,843,823,816,871,939,-0.784,0.316,-0.655,12.031,-14.763,-4.763,Dog
0,748,848,823,828,871,930,-0.783,0.313,-0.655,8.870,-13.489,-9.298,Dog
0,752,847,832,814,868,942,-0.772,0.303,-0.650,7.527,-11.244,-13.328,Dog
0,756,842,820,827,870,933,-0.777,0.307,-0.635,7.481,-9.504,-14.550,Dog
0,760,852,822,821,872,929,-0.764,0.301,-0.618,10.061,-10.260,-14.389,Dog
0,764,849,822,821,875,944,-0.760,0.307,-0.607,12.756,-10.557,-13.740,Dog
0,768,851,827,822,869,935,-0.764,0.316,-0.620,12.542,-10.763,-12.107,Dog
0,772,848,826,821,871,937,-0.761,0.321,-0.608,12.359,-11.588,-7.527,Dog
0,776,849,823,825,874,935,-0.760,0.328,-0.621,12.397,-12.336,-2.137,Dog
0,780,845,827,827,873,935,-0.756,0.324,-0.603,13.198,-13.710,3.427,Dog
0,784,846,819,816,875,933,-0.761,0.318,-0.597,12.511,-14.832,5.275,Dog
0,788,849,823,810,875,928,-0.756,0.314,-0.587,12.405,-17.405,5.534,Dog
0,792,848,831,820,878,942,-0.762,0.313,-0.573,12.786,-21.427,5.595,Dog
0,796,849,835,816,868,933,-0.757,0.316,-0.573,12.794,-25.702,4.878,Dog
0,800,848,827,816,871,942,-0.763,0.312,-0.580,11.565,-30.275,2.031,Dog
0,804,855,827,822,871,939,-0.754,0.316,-0.578,9.153,-33.137,-2.336,Dog
0,808,846,832,824,873,933,-0.748,0.331,-0.594,5.573,-35.611,-5.496,Dog
0,812,854,818,823,878,944,-0.746,0.331,-0.596,2.069,-36.038,-6.786,Dog
0,816,855,827,819,879,933,-0.733,0.339,-0.605,-0.969,-33.702,-7.473,Dog
0,820,850,829,822,867,938,-0.731,0.343,-0.618,-4.260,-29.939,-8.069,Dog
0,824,848,826,818,871,935,-0.717,0.347,-0.627,-10.015,-23.565,-10.916,Dog
0,828,848,819,822,873,933,-0.717,0.338,-0.624,-15.565,-17.626,-16.153,Dog
0,832,849,824,815,876,938,-0.722,0.337,-0.612,-19.634,-14.084,-22.107,Dog
0,836,854,829,823,870,942,-0.722,0.328,-0.602,-21.939,-11.519,-25.336,Dog
0,840,857,825,827,877,935,-0.718,0.322,-0.590,-23.824,-9.359,-26.580,Dog
0,844,860,827,821,874,942,-0.717,0.312,-0.570,-22.450,-11.550,-25.924,Dog
0,848,853,819,818,879,932,-0.708,0.302,-0.558,-18.748,-12.611,-24.908,Dog
0,852,848,831,826,870,942,-0.698,0.303,-0.538,-13.969,-14.206,-19.107,Dog
0,856,848,831,821,871,933,-0.697,0.300,-0.536,-7.779,-18.412,-8.870,Dog
0,860,851,823,826,873,941,-0.688,0.298,-0.520,-1.702,-20.855,-0.351,Dog
0,864,859,825,824,879,935,-0.685,0.302,-0.529,2.626,-22.519,5.893,Dog
0,868,855,830,825,875,933,-0.684,0.314,-0.539,4.550,-22.305,12.473,Dog
0,872,851,823,827,880,932,-0.681,0.316,-0.546,4.626,-20.908,19.313,Dog
0,876,848,819,826,875,942,-0.686,0.325,-0.557,4.511,-18.527,25.130,Dog
0,880,853,821,816,875,939,-0.683,0.325,-0.562,3.038,-16.450,27.580,Dog
0,884,851,828,827,880,938,-0.694,0.326,-0.569,-0.282,-13.412,25.076,Dog
0,888,854,827,821,874,943,-0.693,0.323,-0.576,-4.427,-10.977,20.069,Dog
0,892,851,827,831,878,937,-0.698,0.322,-0.581,-9.718,-8.588,13.962,Dog
0,896,847,832,816,873,942,-0.706,0.328,-0.582,-15.481,-5.710,8.420,Dog
0,900,853,830,825,867,942,-0.711,0.328,-0.586,-20.519,-2.420,3.733,Dog
0,904,855,826,823,871,935,-0.712,0.330,-0.597,-25.015,1.275,-1.611,Dog
0,908,855,817,827,875,939,-0.717,0.331,-0.605,-30.191,4.962,-6.779,Dog
0,912,859,831,819,878,929,-0.725,0.327,-0.611,-35.443,7.443,-12.183,Dog
0,916,853,825,821,876,943,-0.726,0.339,-0.616,-40.176,9.435,-16.183,Dog
0,920,848,833,817,877,931,-0.728,0.330,-0.616,-43.908,11.061,-17.107,Dog
0,924,864,824,817,871,912,-0.737,0.339,-0.617,-46.191,11.710,-15.237,Dog
0,928,848,826,824,878,941,-0.731,0.318,-0.616,-45.962,12.435,-12.687,Dog
0,932,852,827,825,879,944,-0.736,0.317,-0.620,-44.389,12.130,-8.786,Dog
0,936,851,831,819,877,933,-0.734,0.313,-0.606,-41.733,12.580,-4.130,Dog
0,940,854,819,819,877,937,-0.728,0.307,-0.606,-38.962,11.458,-0.038,Dog
0,944,849,826,821,874,943,-0.732,0.294,-0.597,-35.863,10.046,1.733,Dog
0,948,860,816,817,880,940,-0.732,0.293,-0.589,-31.824,6.634,2.618,Dog
0,952,843,810,832,877,941,-0.736,0.291,-0.594,-28.145,3.053,5.046,Dog
0,956,855,827,823,879,946,-0.737,0.298,-0.581,-24.710,-1.466,10.504,Dog
0,960,848,821,826,880,929,-0.728,0.301,-0.585,-20.863,-4.435,17.260,Dog
0,964,855,821,816,879,943,-0.719,0.302,-0.593,-19.099,-5.779,24.412,Dog
0,968,863,821,822,876,937,-0.716,0.300,-0.592,-17.092,-5.443,30.137,Dog
0,972,848,821,821,877,943,-0.709,0.300,-0.616,-16.267,-3.038,33.061,Dog
0,976,855,826,823,880,938,-0.712,0.301,-0.622,-19.137,0.450,32.351,Dog
0,980,849,831,822,880,939,-0.718,0.301,-0.615,-22.282,3.649,26.664,Dog
0,984,853,825,819,878,939,-0.716,0.286,-0.610,-23.924,6.176,18.573,Dog
0,988,865,825,816,875,938,-0.712,0.295,-0.605,-27.931,8.313,12.687,Dog
0,992,851,825,819,880,944,-0.719,0.291,-0.592,-30.214,9.718,8.374,Dog
0,996,849,827,830,875,932,-0.715,0.277,-0.592,-29.733,9.664,6.176,Dog
0,1000,855,816,822,875,944,-0.711,0.285,-0.595,-31.382,11.496,6.076,Dog
0,1004,859,822,818,878,933,-0.716,0.284,-0.601,-32.489,12.420,5.145,Dog
0,1008,858,824,829,878,936,-0.721,0.287,-0.608,-31.908,11.557,4.824,Dog
0,1012,859,819,814,878,933,-0.718,0.295,-0.612,-33.420,15.588,5.153,Dog
0,1016,853,820,816,880,938,-0.711,0.295,-0.633,-34.794,19.817,6.802,Dog
0,1020,848,815,816,876,931,-0.715,0.289,-0.626,-35.061,24.290,6.969,Dog
0,1024,860,827,820,880,937,-0.728,0.282,-0.636,-35.107,28.282,4.412,Dog
0,1028,859,826,822,876,944,-0.730,0.280,-0.623,-35.092,29.916,1.260,Dog
0,1032,849,820,823,880,933,-0.744,0.273,-0.625,-35.176,29.336,-1.420,Dog
0,1036,853,817,810,875,942,-0.749,0.270,-0.627,-32.489,26.504,-2.794,Dog
0,1040,853,823,816,881,931,-0.766,0.273,-0.621,-28.565,22.061,-0.122,Dog
0,1044,858,823,832,869,935,-0.756,0.285,-0.624,-25.962,19.420,4.641,Dog
0,1048,861,819,827,875,940,-0.770,0.272,-0.629,-22.656,16.267,8.863,Dog
0,1052,853,825,823,878,932,-0.774,0.277,-0.634,-20.206,11.824,10.321,Dog
0,1056,859,823,825,881,938,-0.780,0.282,-0.638,-19.435,8.969,8.710,Dog
0,1060,862,821,822,874,944,-0.776,0.279,-0.642,-19.557,6.573,5.305,Dog
0,1064,852,821,821,878,935,-0.764,0.283,-0.635,-18.573,4.672,2.901,Dog
0,1068,862,827,818,879,943,-0.760,0.278,-0.646,-16.481,3.374,3.160,Dog
0,1072,858,822,822,877,944,-0.747,0.283,-0.640,-17.000,4.870,3.420,Dog
0,1076,863,817,821,877,943,-0.751,0.263,-0.627,-13.252,4.183,3.443,Dog
0,1080,860,823,819,880,929,-0.737,0.259,-0.622,-8.168,4.771,3.969,Dog
0,1084,854,822,815,875,941,-0.720,0.264,-0.610,-5.664,6.076,6.740,Dog
0,1088,862,823,826,873,934,-0.721,0.259,-0.588,-2.397,6.519,7.603,Dog
0,1092,858,827,818,876,931,-0.718,0.255,-0.581,1.664,3.878,5.870,Dog
0,1096,851,817,831,874,927,-0.717,0.250,-0.566,4.710,1.412,4.718,Dog
0,1100,853,821,811,877,935,-0.697,0.255,-0.555,7.817,-1.275,7.641,Dog
0,1104,857,823,820,874,935,-0.700,0.263,-0.560,11.489,-2.542,14.351,Dog
0,1108,853,818,820,875,930,-0.689,0.271,-0.566,14.420,-1.786,21.267,Dog
0,1112,860,817,830,879,937,-0.689,0.270,-0.573,14.550,0.626,24.855,Dog
0,1116,850,823,825,877,930,-0.692,0.275,-0.578,14.359,2.588,24.000,Dog
0,1120,861,822,821,877,934,-0.706,0.281,-0.595,12.878,4.840,20.687,Dog
0,1124,857,821,827,873,931,-0.712,0.283,-0.605,9.053,8.595,16.748,Dog
0,1128,848,822,818,874,944,-0.715,0.291,-0.629,5.084,13.588,12.588,Dog
0,1132,855,830,820,880,933,-0.714,0.288,-0.636,2.229,20.450,7.847,Dog
0,1136,857,818,817,880,935,-0.722,0.297,-0.644,-1.702,27.221,2.550,Dog
0,1140,850,823,822,880,944,-0.744,0.287,-0.644,-6.183,32.252,-6.115,Dog
0,1144,862,829,823,877,927,-0.760,0.281,-0.632,-9.534,33.756,-17.962,Dog
0,1148,865,819,821,875,934,-0.771,0.279,-0.627,-12.519,32.160,-29.198,Dog
0,1152,861,832,825,880,933,-0.784,0.286,-0.617,-13.985,26.397,-36.015,Dog
0,1156,833,807,798,869,915,-0.781,0.289,-0.607,-13.099,21.092,-37.366,Dog
0,1160,855,826,830,880,938,-0.782,0.282,-0.602,-9.435,13.977,-33.718,Dog
0,1164,861,829,822,875,940,-0.762,0.281,-0.587,-4.198,7.244,-27.031,Dog
0,1168,855,826,828,880,933,-0.753,0.274,-0.578,2.435,1.107,-20.466,Dog
0,1172,849,822,829,878,939,-0.754,0.277,-0.584,9.733,-4.565,-14.496,Dog
0,1176,851,818,821,875,929,-0.742,0.283,-0.590,15.893,-8.679,-8.550,Dog
0,1180,853,830,823,875,944,-0.734,0.281,-0.595,20.366,-10.771,-3.527,Dog
0,1184,851,811,821,878,933,-0.737,0.285,-0.607,26.137,-12.321,1.511,Dog
0,1188,855,822,818,880,934,-0.725,0.296,-0.622,30.855,-11.504,7.878,Dog
0,1192,856,818,822,880,935,-0.721,0.307,-0.626,33.229,-8.664,14.466,Dog
0,1196,856,822,821,880,940,-0.730,0.304,-0.641,34.473,-4.893,17.756,Dog
0,1200,850,821,819,880,939,-0.731,0.305,-0.640,35.305,-0.252,16.847,Dog
0,1204,861,829,821,874,937,-0.737,0.304,-0.641,34.992,5.000,12.786,Dog
