recording_id,time,flex0,flex1,flex2,flex3,flex4,accX,accY,accZ,gyroX,gyroY,gyroZ,label
0,456,850,819,809,873,896,-0.509,0.442,-0.510,-29.580,-53.198,49.962,Bye
0,460,838,827,816,875,895,-0.483,0.439,-0.530,-12.626,-41.626,79.557,Bye
0,464,849,815,801,874,885,-0.460,0.450,-0.561,-2.038,-24.412,101.779,Bye
0,468,844,816,802,873,886,-0.469,0.457,-0.602,1.519,-2.763,113.824,Bye
0,472,845,817,802,869,895,-0.496,0.450,-0.631,-0.031,17.870,114.321,Bye
0,476,843,816,803,870,889,-0.514,0.449,-0.656,-6.382,38.756,104.466,Bye
0,480,826,799,784,869,875,-0.530,0.443,-0.650,-17.412,59.221,82.282,Bye
0,484,838,819,809,877,891,-0.546,0.431,-0.656,-27.626,70.802,53.947,Bye
0,488,839,821,803,875,881,-0.576,0.430,-0.615,-43.115,80.611,17.435,Bye
0,492,840,819,801,873,887,-0.576,0.433,-0.572,-61.992,85.069,-12.710,Bye
0,496,831,815,794,873,880,-0.590,0.449,-0.545,-79.679,87.466,-34.443,Bye
0,500,831,819,797,878,882,-0.589,0.442,-0.497,-92.214,81.519,-50.351,Bye
0,504,832,819,787,877,886,-0.573,0.432,-0.463,-103.389,76.588,-63.168,Bye
0,508,828,816,789,873,879,-0.572,0.430,-0.438,-109.656,66.359,-66.855,Bye
0,512,825,826,790,871,877,-0.554,0.441,-0.448,-113.489,62.298,-59.542,Bye
0,516,827,818,791,875,870,-0.547,0.442,-0.475,-113.870,59.427,-42.687,Bye
0,520,821,823,784,873,861,-0.542,0.429,-0.518,-107.916,64.015,-24.359,Bye
0,524,832,821,785,874,867,-0.548,0.408,-0.564,-97.282,71.137,-9.656,Bye
0,528,816,826,784,873,867,-0.550,0.402,-0.613,-86.130,85.519,2.115,Bye
0,532,819,822,784,871,867,-0.586,0.408,-0.663,-79.115,100.809,12.382,Bye
0,536,818,816,782,873,864,-0.618,0.408,-0.719,-72.595,118.344,16.695,Bye
0,540,814,817,784,868,866,-0.667,0.396,-0.739,-67.771,132.832,12.099,Bye
0,544,817,821,778,869,866,-0.721,0.405,-0.755,-62.008,141.061,0.733,Bye
0,548,816,817,783,867,864,-0.784,0.410,-0.766,-58.824,141.405,-10.031,Bye
0,552,816,816,786,873,862,-0.828,0.439,-0.780,-57.473,135.214,-14.580,Bye
0,556,831,816,785,869,862,-0.870,0.474,-0.790,-59.771,126.641,-11.832,Bye
0,560,816,825,778,869,863,-0.893,0.481,-0.802,-60.176,115.435,-7.649,Bye
0,564,816,818,772,874,858,-0.913,0.485,-0.801,-62.817,101.901,-8.405,Bye
0,568,816,820,779,872,859,-0.929,0.489,-0.779,-69.183,86.763,-15.137,Bye
0,572,821,829,778,868,863,-0.930,0.487,-0.763,-79.130,67.237,-25.290,Bye
0,576,819,819,777,871,859,-0.914,0.471,-0.726,-87.672,44.786,-34.351,Bye
0,580,816,816,779,870,858,-0.863,0.456,-0.671,-93.260,24.053,-38.756,Bye
0,584,816,822,784,871,863,-0.808,0.414,-0.625,-89.679,4.137,-37.802,Bye
0,588,817,831,767,871,862,-0.734,0.371,-0.562,-76.992,-12.298,-31.466,Bye
0,592,821,822,782,871,857,-0.648,0.339,-0.494,-62.664,-24.328,-19.603,Bye
0,596,819,822,771,865,860,-0.573,0.317,-0.442,-45.702,-32.061,-5.359,Bye
0,600,821,828,779,875,855,-0.511,0.287,-0.418,-26.260,-36.137,7.366,Bye
0,604,826,823,779,866,862,-0.425,0.272,-0.366,-8.176,-34.527,18.336,Bye
0,608,816,822,769,866,862,-0.387,0.264,-0.354,8.664,-28.229,29.779,Bye
0,612,816,827,778,865,849,-0.347,0.256,-0.347,29.137,-18.924,42.817,Bye
0,616,816,825,781,871,853,-0.308,0.274,-0.351,44.794,-3.656,58.771,Bye
0,620,819,815,779,870,855,-0.295,0.296,-0.357,57.069,13.748,76.359,Bye
0,624,815,822,778,867,859,-0.299,0.286,-0.350,67.389,31.198,87.473,Bye
0,628,818,816,769,866,857,-0.325,0.291,-0.373,75.618,47.374,90.435,Bye
0,632,815,818,773,868,857,-0.361,0.309,-0.387,77.252,63.344,86.893,Bye
0,636,818,830,773,870,850,-0.393,0.335,-0.402,74.176,76.893,78.885,Bye
0,640,817,823,769,867,854,-0.448,0.349,-0.446,69.458,89.031,67.191,Bye
0,644,819,821,771,866,859,-0.497,0.387,-0.507,59.336,102.168,53.908,Bye
0,648,816,820,777,871,854,-0.573,0.427,-0.576,44.847,114.550,40.679,Bye
0,652,817,816,781,867,862,-0.652,0.455,-0.651,24.023,125.931,22.679,Bye
0,656,819,825,773,866,861,-0.725,0.489,-0.726,0.191,133.397,-0.214,Bye
0,660,816,823,772,863,854,-0.819,0.507,-0.764,-28.840,136.053,-31.046,Bye
0,664,822,821,775,867,868,-0.869,0.514,-0.804,-58.389,132.885,-63.328,Bye
0,668,816,827,769,865,865,-0.917,0.500,-0.809,-83.870,125.008,-94.908,Bye
0,672,813,823,773,866,855,-0.938,0.493,-0.813,-101.893,111.542,-120.008,Bye
0,676,818,829,772,863,851,-0.940,0.465,-0.793,-112.374,96.679,-137.740,Bye
0,680,815,819,775,863,854,-0.925,0.429,-0.747,-113.977,77.954,-147.321,Bye
0,684,790,801,741,862,837,-0.896,0.399,-0.701,-105.840,58.534,-150.985,Bye
0,688,817,823,769,863,870,-0.853,0.371,-0.635,-90.290,37.809,-147.695,Bye
0,692,815,827,771,865,859,-0.794,0.353,-0.576,-69.252,17.130,-136.763,Bye
0,696,816,825,769,870,855,-0.747,0.343,-0.528,-41.565,-2.725,-117.191,Bye
0,700,819,828,763,866,864,-0.691,0.338,-0.495,-10.084,-20.298,-87.870,Bye
0,704,818,822,773,867,865,-0.655,0.347,-0.485,22.153,-33.634,-48.275,Bye
0,708,811,823,762,863,854,-0.605,0.347,-0.470,55.168,-43.008,-5.061,Bye
0,712,817,829,774,867,864,-0.575,0.357,-0.466,86.641,-48.542,37.000,Bye
0,716,815,836,780,863,859,-0.556,0.363,-0.472,113.855,-50.290,74.977,Bye
0,720,807,822,772,867,861,-0.551,0.384,-0.505,134.336,-48.740,105.954,Bye
0,724,815,825,766,865,864,-0.560,0.395,-0.524,147.053,-44.481,125.344,Bye
0,728,811,832,765,862,876,-0.563,0.403,-0.552,153.771,-37.023,132.099,Bye
0,732,821,828,766,870,863,-0.580,0.398,-0.579,155.038,-28.305,125.458,Bye
0,736,818,825,768,868,869,-0.602,0.417,-0.591,149.153,-19.336,109.206,Bye
0,740,813,829,775,864,866,-0.623,0.442,-0.603,136.878,-11.969,85.931,Bye
0,744,811,830,772,860,860,-0.662,0.473,-0.630,117.901,-6.710,58.702,Bye
0,748,813,826,770,862,865,-0.683,0.495,-0.647,94.878,-3.107,29.153,Bye
0,752,819,825,765,865,858,-0.708,0.513,-0.663,68.901,-1.420,-0.267,Bye
